# Drift report generated 2026-01-30T00:07:01.522574
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter8_chapter_8_holy_spirit_comforter_guide_and_power.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/farsi/pipeline2/backtranslation/chapters/chapter8_chapter_8_holy_spirit_comforter_guide_and_power.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9643","HIGH","The Holy Spirit is not a new spirit but is of God and has been with God since the very beginning. In <span class=""x-scripture"" data-book=""GEN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Genesis 1:2</span> the Spirit of God is hovering on the waters during creation. In <span class=""x-scripture"" data-book=""NEH"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Nehemiah 9:20</span>, the scriptures say that it was the Spirit who instructed the people in the wilderness. It was by this same Holy Spirit that God anointed the kings, judges, and prophets in the Old Testament. In <span class=""x-scripture"" data-book=""JOL"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""28-29"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Joel 2:28-29</span> the Spirit is promised to be poured out on all mankind. It was by this same Holy Spirit that God raised Jesus from the dead, and now dwells in us (<span class=""x-scripture"" data-book=""ROM"" data-chapter=""8"" data-lang=""en"" data-type=""ref"" data-verses=""11"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Romans 8:11</span>). There is only one Holy Spirit, and He has always been the same. How He works with people has looked different at different times, but His heart has never changed.","The Holy Spirit is not a newly arisen spirit, but is from God and has been with God from the very beginning. In <span class=""x-scripture"" data-book=""GEN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Genesis 1:2</span>, the Spirit of God was moving over the waters at creation. In <span class=""x-scripture"" data-book=""NEH"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Nehemiah 9:20</span>, the Word says that it was this Spirit who taught the people in the wilderness. It was by this same Holy Spirit that God anointed kings, judges, and prophets in the Old Testament. In <span class=""x-scripture"" data-book=""JOL"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""28-29"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Joel 2:28–29</span> it is promised that the Spirit will be poured out on all flesh. It was by this same Holy Spirit that God raised Jesus from the dead, and He now dwells in us (<span class=""x-scripture"" data-book=""ROM"" data-chapter=""8"" data-lang=""en"" data-type=""ref"" data-verses=""11"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Romans 8:11</span>). There is only one Holy Spirit, and He has always been the same. The way He has worked with people has seemed different at various times, but His heart has never changed."
"2","0.9355","HIGH","Jesus gave His disciples, and all of us, the powerful promise of the Holy Spirit.","Jesus gave His disciples—and all of us—a powerful promise concerning the Holy Spirit."
"3","0.9997","HIGH","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""quote"" data-verses=""16-18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""quote"" data-verses=""16-18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"4","0.9613","HIGH","> **<u>John 14:16-18</u>** (NKJV)\\n>\\n> And I will pray the Father, and He will give you another Helper, that He may abide with you forever—\\n>\\n> the Spirit of truth, whom the world cannot receive, because it neither sees Him nor knows Him; but you know Him, for He dwells with you and will be in you.\\n>\\n> I will not leave you orphans; I will come to you.\\n>","> **<u>John 14:16-18</u>** (NKJV)\\n>\\n> And I will ask the Father, and He will give you another Comforter to be with you forever—\\n>\\n> that is, the Spirit of truth, whom the world cannot receive, because it neither sees Him nor knows Him; but you know Him, because He dwells with you and will be in you.\\n>\\n> I will not leave you as orphans; I will come to you.\\n>"
"5","1.0","HIGH","</span>","</span>"
"6","0.9735","HIGH","While Jesus walked the earth in His physical body, He was limited as we are, His body needed the same things our bodies need: rest, water, food, sleep, etc. This limitation not only impacted Jesus, but impacted His followers, as He could only be in one place at a time. Oftentimes as Jesus traveled, He was pressed about by a huge crowd, they would try to call out to Him and touch Him. Jesus often needed to spend time with His heavenly Father to recharge and pray.","At the time when Jesus walked the earth in His physical body, He was limited as we are; His body needed the same things our bodies need: rest, water, food, sleep, and so on. This limitation affected not only Jesus but also His followers, because He could be in only one place at a time. Often, when Jesus traveled, great crowds gathered around Him; they tried to call out to Him and to touch Him. Jesus often needed to spend time with His heavenly Father to be refreshed and to pray."
"7","0.971","HIGH","For the work of the Father to be multiplied Jesus needed to raise up disciples, and for them to carry on this work. Jesus knew that a crucial aspect of His ministry on the earth depended upon Him connecting with and abiding with His Father. In fact, Jesus said He could do nothing unless His Father did it through Him and showed Him to do it (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 5:19</span>). God in His wisdom sent His Holy Spirit to dwell within us, to lead us and guide us, empowering us to do the work of the Father.","In order for the Father’s work to be multiplied, Jesus had to raise up disciples to continue it. Jesus knew that a vital aspect of His ministry on earth depended on His connection with and abiding in the Father. In fact, Jesus said that He could do nothing unless His Father did it through Him and showed Him to do it (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 5:19</span>). In His wisdom, God sent His Holy Spirit to dwell in us, to lead and guide us, and to grant us the power to do the Father’s work."
"8","0.956","HIGH","## When was the Holy Spirit Sent to All Believers?","## When was the Holy Spirit sent for all believers?"
"9","1.0","HIGH","Jesus said:","Jesus said:"
"10","1.0","HIGH","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""16"" data-lang=""en"" data-type=""quote"" data-verses=""7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""16"" data-lang=""en"" data-type=""quote"" data-verses=""7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
